name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation
Dimitrovgrad,7644,Valid,"Iron, IIIAB",100000,Found,1/1/1949 0:00,43.04639,22.86389,"(43.04639, 22.86389)"
Faucett,10077,Valid,H5,100000,Found,1/1/1966 0:00,39.61667,-94.86667,"(39.61667, -94.86667)"
Franconia,10174,Valid,H5,100000,Found,1/1/2002 0:00,34.71637,-114.22197,"(34.71637, -114.22197)"
Lutschaunig's Stone,14762,Valid,L6,100000,Found,01/01/1861 12:00:00 AM,-27,-70,"(-27.0, -70.0)"
Pierceville (iron),18819,Valid,"Iron, IIIAB",100000,Found,1/1/1917 0:00,37.86667,-100.66667,"(37.86667, -100.66667)"
Retuerta del Bullaque,56577,Valid,"Iron, IAB-MG",100000,Found,1/1/1980 0:00,39.45889,-4.3775,"(39.45889, -4.3775)"
Zhongxiang,30406,Valid,Iron,100000,Found,1/1/1981 0:00,31.2,112.5,"(31.2, 112.5)"
Social Circle,23659,Valid,"Iron, IVA",99300,Found,1/1/1927 0:00,33.7,-83.7,"(33.7, -83.7)"
Steinbach,23722,Valid,"Iron, IVA-an",98000,Found,01/01/1724 12:00:00 AM,50.5,12.5,"(50.5, 12.5)"
Palmas de Monte Alto,48959,Valid,"Iron, IIIAB",97000,Found,1/1/1954 0:00,-14.3675,-43.02278,"(-14.3675, -43.02278)"
Zavid,30396,Valid,L6,95000,Fell,01/01/1897 12:00:00 AM,44.4,19.11667,"(44.4, 19.11667)"
Dar al Gani 749,6296,Valid,CO3,95000,Found,1/1/1999 0:00,27.30167,15.7645,"(27.30167, 15.7645)"
Loreto,14705,Valid,"Iron, IIIAB",94800,Found,01/01/1896 12:00:00 AM,26.01667,-111.36667,"(26.01667, -111.36667)"
Weekeroo Station,24230,Valid,"Iron, IIE-an",94200,Found,1/1/1924 0:00,-32.26667,139.86667,"(-32.26667, 139.86667)"
Carver,5284,Valid,"Iron, IIAB",94000,Found,1/1/1935 0:00,32,-86,"(32.0, -86.0)"
Concho,5417,Valid,L6,93500,Found,1/1/1939 0:00,32,-101.5,"(32.0, -101.5)"
Machinga,15371,Valid,L6,93200,Fell,1/1/1981 0:00,-15.21222,35.24222,"(-15.21222, 35.24222)"
Watson 001,24221,Valid,"Iron, IIE",93000,Found,1/1/1972 0:00,-30.5,131.55,"(-30.5, 131.55)"
